,C1,C2,C3,C4,C5,C6
R1,0.09,0.05,0.08,0.09,0.57,0.12
R2,0.05,0.15,0.37,0.37,0.00,0.06
R3,0.00,0.46,0.07,0.36,0.08,0.03
R4,0.37,0.06,0.08,0.14,0.11,0.24
R5,0.51,0.30,0.01,0.14,0.00,0.04
RN,0.00,0.00,0.00,0.00,0.00,0.00
